ticker,entity
CDR,"CODERE, S.A."
ENG,"ENAGAS, S.A."
VOC,"VOCENTO, S.A."
ENC,"ENCE ENERGIA Y CELULOSA, S.A."
BDL,"BARON DE LEY, S.A."
GCO,"GRUPO CATALANA OCCIDENTE, S.A."
CABK,"CAIXABANK, S.A."
PRM,"PRIM, S.A."
CASH,"PROSEGUR CASH, S.A."
CLEO,"COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A."
SAN,"BANCO SANTANDER, S.A."
AENA,"AENA, S.M.E., S.A."
MRL,"MERLIN PROPERTIES, SOCIMI, S.A."
FCC,"FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A."
ABG.P,"ABENGOA, S.A."
RDM,"RENO DE MEDICI, S.P.A."
RIO,"BODEGAS RIOJANAS, S.A."
ACS,"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A."
DGI,"DOGI INTERNATIONAL FABRICS, S.A."
EDR,"EDREAMS ODIGEO, S.A."
RLIA,"REALIA BUSINESS, S.A."
PSG,"PROSEGUR, COMPAÑIA DE SEGURIDAD, S.A."
LGT,"LINGOTES ESPECIALES, S.A."
TPZ,"TELEPIZZA GROUP, S.A."
REP,"REPSOL, S.A."
UBS,"URBAS GRUPO FINANCIERO, S.A."
ORY,"ORYZON GENOMICS, S.A."
MAS,"MASMOVIL IBERCOM, S.A."
VER,"VERTICE TRESCIENTOS SESENTA GRADOS, S.A."
CBAV,"CLINICA BAVIERA, S.A."
FRS,"FERSA ENERGIAS RENOVABLES, S.A."
AMP,"AMPER, S.A."
SGRE,"SIEMENS GAMESA RENEWABLE ENERGY, S.A."
ZOT,"ZARDOYA OTIS, S.A."
NTH,"NATURHOUSE HEALTH, S.A."
PRS,"PROMOTORA DE INFORMACIONES, S.A."
ADZ,"ADOLFO DOMINGUEZ, S.A."
A3M,"ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A."
PVA,"PESCANOVA, S.A."
ANA,"ACCIONA, S.A."
HOME,"NEINOR HOMES, S.A."
DOM,"GLOBAL DOMINION ACCESS, S.A."
INY,"INYPSA INFORMES Y PROYECTOS, S.A."
AZK,"AZKOYEN, S.A."
PQR,"PARQUES REUNIDOS SERVICIOS CENTRALES, S.A."
ABE,"ABERTIS INFRAESTRUCTURAS, S.A."
EKT,"EUSKALTEL, S.A."
IDR,"INDRA SISTEMAS, S.A."
SNC,"SNIACE, S.A."
CLNX,"CELLNEX TELECOM, S.A."
SAY,"SAETA YIELD, S.A."
LBK,"LIBERBANK, S.A."
MTB,"MONTEBALITO, S.A."
LOG,"COMPAÑIA DE DISTRIBUCION INTEGRAL LOGISTA, S.A."
IBG,"IBERPAPEL GESTION, S.A."
GALQ,"GENERAL DE ALQUILER DE MAQUINARIA, S.A."
REY,"REYAL URBIS, S.A."
OHL,"OBRASCON HUARTE LAIN, S.A."
UNI,"UNICAJA BANCO, S.A."
MAP,"MAPFRE, S.A."
BKIA,"BANKIA, S.A"
HIS,"HISPANIA ACTIVOS INMOBILIARIOS SOCIMI, S.A."
SAB,"BANCO DE SABADELL, S.A."
ISUR,"INMOBILIARIA DEL SUR, S.A."
STG,"SOTOGRANDE, S.A."
R4,"RENTA 4 BANCO, S.A."
ENO,"ELECNOR, S.A."
AXIA,"AXIARE PATRIMONIO SOCIMI, S.A."
VID,"VIDRALA, S.A."
SPS,"SERVICE POINT SOLUTIONS, S.A."
BME,"BOLSAS Y MERCADOS ESPAÑOLES, SDAD HOLDING DE MDOS Y STMAS FIN., S.A."
PAC,"PAPELES Y CARTONES DE EUROPA, S.A."
BKT,"BANKINTER, S.A."
ACX,"ACERINOX, S.A."
SCYR,"SACYR, S.A."
GRF.P,"GRIFOLS, S.A."
ELE,"ENDESA, S.A."
CIE,"CIE AUTOMOTIVE, S.A."
EBRO,"EBRO FOODS, S.A."
TUB,"TUBACEX, S.A."
REN,"RENTA CORPORACION REAL ESTATE, S.A."
IBE,"IBERDROLA, S.A."
MEL,"MELIA HOTELS INTERNATIONAL S.A."
OLE,"DEOLEO, S.A."
TL5,"MEDIASET ESPAÑA COMUNICACION, S.A."
GAS,"GAS NATURAL SDG, S.A."
TRE,"TECNICAS REUNIDAS, S.A."
NEA,"NICOLAS CORREA, S.A."
ABG,"ABENGOA, S.A."
ROVI,"LABORATORIOS FARMACEUTICOS ROVI, S.A."
MCM,"MIQUEL Y COSTAS & MIQUEL, S.A."
NYE,"NYESA VALORES CORPORACION, S.A."
CMC,"CORPORACION EMPRESARIAL DE MATERIALES DE CONSTRUCCION, S.A."
ITX,"INDUSTRIA DE DISEÑO TEXTIL, S.A."
LRE,"LAR ESPAÑA REAL ESTATE SOCIMI, S.A."
PHM,"PHARMA MAR, S.A."
QBT,"QUABIT INMOBILIARIA, S.A."
FUN,"FUNESPAÑA, S.A."
RJF,"LABORATORIO REIG JOFRE, S.A."
IAG,"INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A."
ALNT,"ALANTRA PARTNERS, S.A."
GSJ,"GRUPO EMPRESARIAL SAN JOSE, S.A."
FAE,"FAES FARMA, S.A."
ECR,"ERCROS, S.A."
FDR,"FLUIDRA, S.A."
GEST,"GESTAMP AUTOMOCION, S.A."
CAM,"BANCO CAM, S.A."
BAIN,"BORGES AGRICULTURAL & INDUSTRIAL NUTS, S.A."
DIA,"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A."
VIS,"VISCOFAN, S.A."
SLR,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A."
FER,"FERROVIAL, S.A."
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
GRF,"GRIFOLS, S.A."
ADV,"ADVEO GROUP INTERNATIONAL, S.A."
NAT,"NATRA, S.A."
EZE,"GRUPO EZENTIS, S.A."
COL,"INMOBILIARIA COLONIAL, S.A."
AMS,"AMADEUS IT GROUP S.A."
TLGO,"TALGO, S.A."
ALB,"CORPORACION FINANCIERA ALBA, S.A."
TEF,"TELEFONICA, S.A."
CAF,"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A"
BIO,"BIOSEARCH, S.A."
TRG,"TUBOS REUNIDOS, S.A."
REE,"RED ELECTRICA CORPORACION, S.A."
APPS,"APPLUS SERVICES, S.A."
MDF,"DURO FELGUERA, S.A."
ALM,"ALMIRALL, S.A."
NHH,"NH HOTEL GROUP, S.A."
